obs_id,true_value,meas_value,corr_value,diff(%)
16,  1.75158   13.5425 -0.206128  0.390511,   1.3877   13.3476 -0.152205  0.356694,  1.49121   13.3424 -0.152205  0.356694,-14.8647 -1.47712   -26.16 -8.65972
18, 3.80476  6.52458 -0.38613 0.451551,  3.85553   6.68114 -0.366935   0.50498,  3.87949   6.68625 -0.366935   0.50498, 1.96395  2.47791 -4.97117  11.8325
0,  3.24021   5.59081 -0.248269  0.439914,  3.18081   6.08611 -0.263576  0.472988,  3.21461    5.9758 -0.263576  0.472988,-0.790107   6.88619   6.16552   7.51829
7,  9.08701   15.1745  0.514469 -0.473625,  8.93734   15.0989  0.518942 -0.462895,  8.92247   15.1009  0.518942 -0.462895, -1.81074 -0.485362  0.869353  -2.26534
9,  12.4589   6.88488  0.306005 -0.388392,  12.9633   6.56162   0.28563 -0.397257,  12.8546   6.58378   0.28563 -0.397257, 3.17569 -4.37332 -6.65851  2.28256
16,  1.74471   13.5555 -0.206128  0.390511,  1.59181   13.3682 -0.224506   0.40347,  1.57276   13.3659 -0.224506   0.40347,-9.85563 -1.39885  8.91603  3.31841
18, 3.79189  6.53963 -0.38613 0.451551,  3.71275   6.44093 -0.359153  0.399778,  3.74029   6.48728 -0.359153  0.399778, -1.36082 -0.800482   -6.9866  -11.4655
19,  18.5955   11.3764 -0.231757 -0.326946,  18.3495   11.5017 -0.263898 -0.376938,  17.7443   11.1221 -0.263898 -0.376939,-4.57759 -2.23513  13.8683  15.2909
0,  3.23194   5.60547 -0.248269  0.439914,   3.0818   5.59872 -0.265252  0.449155,  3.10389   5.66861 -0.265252  0.449155,-3.96202   1.1264   6.8405  2.10069
7,  9.10416   15.1587  0.514469 -0.473625,  9.19725   15.1455   0.56118 -0.465112,  9.15153   15.1348   0.56118 -0.465112, 0.520322 -0.158093   9.07943  -1.79738
9,  12.4691   6.87193  0.306005 -0.388392,   12.894   7.55971  0.262984 -0.393328,  12.8886   7.38354  0.262984 -0.393328, 3.36377   7.4449 -14.0588  1.27093
16,  1.73784   13.5685 -0.206128  0.390511,  1.84673   13.3946 -0.194971  0.365646,   1.7967   13.3918 -0.194971  0.365646, 3.38698 -1.30243 -5.41263  -6.3674
18, 3.77902  6.55468 -0.38613 0.451551,  3.90762   6.84322 -0.424501  0.371096,  3.87547    6.7821 -0.424501  0.371096, 2.55216  3.46956  9.93731 -17.8175
19,  18.5878   11.3655 -0.231757 -0.326946,  18.9261   11.4288 -0.209901 -0.350077,   18.734   11.3773 -0.209901 -0.350077,0.786406 0.104048 -9.43063  7.07485
0,  3.22366   5.62014 -0.248269  0.439914,   3.4903   5.79371 -0.240381  0.460395,  3.41998   5.77413 -0.240381  0.460395, 6.09014  2.74007 -3.17735  4.65571
7,  9.12131   15.1429  0.514469 -0.473625,  9.15261   14.7158  0.511528 -0.468527,  9.15559   14.7876  0.511528 -0.468527, 0.375832  -2.34628 -0.571718  -1.07635
9,  12.4793   6.85898  0.306005 -0.388392,  12.4355   6.73845  0.292982 -0.393412,  12.5179   6.85101  0.292982 -0.393412,   0.3086 -0.116196  -4.25597   1.29252
16,  1.73097   13.5815 -0.206128  0.390511,  1.46085   13.2851 -0.227278  0.344815,  1.51941   13.3062 -0.227278  0.344815,-12.2222 -2.02705  10.2606 -11.7016
18, 3.76615  6.56974 -0.38613 0.451551,  3.48494    6.9567 -0.410794  0.520083,  3.55203   6.92829 -0.410794  0.520083,-5.68554  5.45761  6.38755  15.1771
19,  18.5801   11.3546 -0.231757 -0.326946,  18.2499   11.5061 -0.259898 -0.305382,  18.3338   11.4815 -0.259898 -0.305382,-1.32549  1.11815  12.1423 -6.59556
0,  3.21538    5.6348 -0.248269  0.439914,  2.97879   5.66964 -0.196523   0.43324,  3.05609    5.6909 -0.196523   0.43324, -4.9541 0.995503 -20.8426 -1.51715
7,  9.13845   15.1271  0.514469 -0.473625,  9.12924   15.0586   0.50793 -0.458878,  9.13695   15.0076   0.50793 -0.458878,-0.0164156  -0.790564   -1.27106   -3.11364
9,  12.4895   6.84604  0.306005 -0.388392,  12.5412   6.89397  0.274885 -0.348623,  12.5387   6.88413  0.274885 -0.348623,0.393541 0.556384 -10.1699 -10.2392
16,   1.7241   13.5945 -0.206128  0.390511,  1.49088   13.7571 -0.245603  0.388835,  1.49455    13.679 -0.245603  0.388835, -13.3141  0.621358   19.1509 -0.429134
18, 3.75328  6.58479 -0.38613 0.451551,  3.85839   6.79666 -0.372254  0.438442,  3.80151   6.82292 -0.372254  0.438442, 1.28502  3.61644  -3.5935 -2.90303
19,  18.5723   11.3437 -0.231757 -0.326946,  18.8649   11.3362 -0.247963 -0.334618,  18.7689   11.3601 -0.247963 -0.334618, 1.05849 0.144821   6.9925  2.34659
0,  3.20711   5.64947 -0.248269  0.439914, 3.13564  5.98939 -0.28367 0.401704, 3.12002   5.9387 -0.28367 0.401704,-2.71537   5.1196   14.259 -8.68568
7,   9.1556   15.1114  0.514469 -0.473625,  9.21533   15.3262  0.514081 -0.479886,   9.2044   15.2667  0.514081 -0.479886,  0.533012    1.02772 -0.0754806    1.32203
9,  12.4997   6.83309  0.306005 -0.388392, 12.5133  7.10594 0.337402 -0.43041, 12.5196  7.06409 0.337402 -0.43041,0.159023  3.38063  10.2605  10.8186
