obs_id,true_value,meas_value,corr_value,diff(%)
0,  4.35743   3.61121 -0.248269  0.439914, 4.97054  3.94267 -0.25305 0.423426, 4.77321  3.85841 -0.25305 0.423426, 9.54197  6.84518  1.92578 -3.74793
4, -5.41188  -3.27548 -0.291101  0.392372, -5.59223  -3.23424 -0.278786  0.411378, -5.57656  -3.32692 -0.278786  0.411378,  3.0429  1.57049 -4.23051  4.84384
17,  9.81543  -1.84365 -0.493217 -0.342972,  9.87497  -2.08263 -0.463181 -0.350286,  9.85768  -2.04941 -0.463181 -0.350286,0.43048 11.1609 -6.0898 2.13256
18, 5.52945  4.50763 -0.38613 0.451551,  5.40333   4.66246 -0.382236  0.452595,  5.45792   4.56514 -0.382236  0.452595,-1.29377  1.27579 -1.00838 0.231178
0,  4.34915   3.62588 -0.248269  0.439914,  4.09267   3.38239 -0.261623    0.4439,  4.24399   3.49274 -0.261623    0.4439,-2.41797 -3.67186  5.37873 0.906202
4, -5.42159   -3.2624 -0.291101  0.392372, -5.28291  -3.17464 -0.338035  0.430758, -5.35112  -3.20584 -0.338035  0.430758,-1.29979 -1.73372  16.1229   9.7831
17,  9.79899  -1.85508 -0.493217 -0.342972,  10.0663  -2.06959 -0.532357 -0.335441,  10.0158  -2.06767 -0.532357 -0.335441,2.21276 11.4601 7.93574 -2.1959
18, 5.51658  4.52269 -0.38613 0.451551,   5.6631   4.38632 -0.425977  0.517208,  5.61403   4.42998 -0.425977  0.517208,  1.7665 -2.04991  10.3197  14.5404
0,  4.34088   3.64054 -0.248269  0.439914,  3.86856    3.8501 -0.206577   0.47756,  3.95112   3.77297 -0.206577   0.47756,-8.97869  3.63773 -16.7931  8.55765
4, -5.43129  -3.24932 -0.291101  0.392372, -5.12941  -3.48721 -0.282547  0.324326, -5.18186  -3.42063 -0.282547  0.324326,-4.59238  5.27205 -2.93859 -17.3421
17,  9.78255  -1.86651 -0.493217 -0.342972,   9.8355  -1.88554 -0.424495 -0.366169,  9.87211  -1.92907 -0.424495 -0.366169,0.915494   3.3515 -13.9335  6.76345
18, 5.50371  4.53774 -0.38613 0.451551,  5.99904   4.53334 -0.414549  0.431367,  5.90916   4.51395 -0.414549  0.431367,  7.36672 -0.524204   7.35998  -4.46989
0,   4.3326    3.6552 -0.248269  0.439914,  4.32855   3.60379 -0.196803    0.3887,  4.24203   3.64546 -0.196803    0.3887, -2.09053 -0.266486  -20.7299  -11.6419
4, -5.44099  -3.23624 -0.291101  0.392372, -5.17816  -3.06226 -0.293344  0.400072, -5.18112  -3.14051 -0.293344  0.400072,-4.77626 -2.95798 0.770414  1.96232
17,  9.76611  -1.87794 -0.493217 -0.342972,  9.36222   -1.9215 -0.459835 -0.347734,  9.47383  -1.92595 -0.459835 -0.347734,-2.99271  2.55626 -6.76827  1.38845
18, 5.49084  4.55279 -0.38613 0.451551, 5.62671  4.27555 -0.39188 0.457098, 5.68719  4.33246 -0.39188 0.457098, 3.57601 -4.83943  1.48904  1.22856
0,  4.32432   3.66987 -0.248269  0.439914,  4.29314   3.90217 -0.236943  0.396301,  4.28016   3.84729 -0.236943  0.396301,-1.02137   4.8347   -4.562 -9.91401
4,  -5.4507  -3.22316 -0.291101  0.392372, -5.67612  -3.16792 -0.304116  0.421577, -5.56688  -3.15874 -0.304116  0.421577, 2.13146 -1.99856   4.4707  7.44311
17,  9.74967  -1.88938 -0.493217 -0.342972,  9.31442  -2.33995 -0.443438 -0.353112,  9.34686  -2.24935 -0.443438 -0.353112, -4.1315  19.0526 -10.0927  2.95645
18, 5.47797  4.56784 -0.38613 0.451551,  5.56606   4.62896 -0.384748  0.426318,   5.5904   4.56563 -0.384748  0.426318,   2.0523 -0.048343 -0.358025  -5.58802
0,  4.31605   3.68453 -0.248269  0.439914,  4.45932   3.57616 -0.249842   0.44537,   4.4172   3.64018 -0.249842   0.44537, 2.34365  -1.2038 0.633507  1.24017
4,  -5.4604  -3.21008 -0.291101  0.392372,  -5.0237  -3.19278 -0.236706  0.411035, -5.14828  -3.18195 -0.236706  0.411035,-5.71606 -0.87634  -18.686  4.75648
17,  9.73323  -1.90081 -0.493217 -0.342972,  9.66409  -1.97953  -0.44107 -0.353165,  9.58934  -2.04293  -0.44107 -0.353165,-1.47833  7.47705 -10.5728  2.97196
18,  5.4651  4.58289 -0.38613 0.451551,  5.11821   4.59501 -0.370425  0.408795,  5.22163    4.5916 -0.370425  0.408795,-4.45493 0.189917 -4.06734 -9.46873
0,  4.30777   3.69919 -0.248269  0.439914,  4.43194   3.92052 -0.244263  0.474968,  4.42675   3.86074 -0.244263  0.474968, 2.76189  4.36719 -1.61373  7.96841
4,  -5.4701    -3.197 -0.291101  0.392372, -5.69154  -3.17007 -0.273975  0.377522,   -5.571  -3.16966 -0.273975  0.377522,  1.84454 -0.855323  -5.88334  -3.78456
17,  9.71679  -1.91224 -0.493217 -0.342972,  9.85606  -2.13087 -0.489598 -0.354894,   9.7927  -2.11372 -0.489598 -0.354894, 0.781221   10.5365 -0.733794   3.47598
18, 5.45223  4.59795 -0.38613 0.451551,  5.42795     4.282 -0.381356   0.49125,  5.37872   4.35477 -0.381356   0.49125,-1.34829 -5.28879 -1.23642  8.79185
0,   4.2995   3.71386 -0.248269  0.439914,  4.22215   3.50856 -0.286099  0.439706,  4.26638   3.59142 -0.286099  0.439706, -0.770182    -3.2969    15.2373 -0.0472188
4, -5.47981  -3.18392 -0.291101  0.392372,  -5.6851  -3.30041 -0.258457  0.368237, -5.66147  -3.26814 -0.258457  0.368237, 3.31516  2.64503 -11.2141 -6.15093
17,  9.70035  -1.92367 -0.493217 -0.342972,  9.76021  -1.51407 -0.478598 -0.355637,  9.76385  -1.65175 -0.478598 -0.355637,0.654689 -14.1358 -2.96409  3.69271
18, 5.43936    4.613 -0.38613 0.451551,  5.22038   4.56017 -0.421568  0.447677,  5.25317   4.51761 -0.421568  0.447677, -3.42306  -2.06768   9.17769 -0.857874
0,  4.29122   3.72852 -0.248269  0.439914,  4.15526   3.91795 -0.243312  0.435265,  4.17813   3.84773 -0.243312  0.435265,-2.63546  3.19734  -1.9967 -1.05687
4, -5.48951  -3.17085 -0.291101  0.392372, -5.42545  -2.90481 -0.282382   0.38031, -5.48053  -2.98385 -0.282382   0.38031,-0.163512  -5.89739  -2.99533  -3.07419
17,   9.6839  -1.93511 -0.493217 -0.342972,  10.1083  -1.94455 -0.530331 -0.419521,  10.0272   -1.8813 -0.530331 -0.419521, 3.54452 -2.78068   7.5249  22.3192
18, 5.42649  4.62805 -0.38613 0.451551,  5.56334   4.91611 -0.400639  0.452608,  5.49034   4.82975 -0.400639  0.452608, 1.17667  4.35827  3.75764 0.234247
0,  4.28295   3.74319 -0.248269  0.439914,  4.27159   3.67231 -0.287769  0.395383,  4.24872   3.71507 -0.287769  0.395383,-0.799132 -0.751055   15.9099  -10.1226
4, -5.49921  -3.15777 -0.291101  0.392372, -5.28013  -3.47956 -0.312712  0.420855, -5.32737   -3.3651 -0.312712  0.420855,-3.12487  6.56582  7.42378  7.25907
17,  9.66746  -1.94654 -0.493217 -0.342972,  9.80717  -1.93493 -0.480637 -0.371288,  9.85271    -1.926 -0.480637 -0.371288, 1.91622 -1.05502  -2.5506  8.25607
18, 5.41362   4.6431 -0.38613 0.451551,  5.33105   4.53432 -0.388799  0.491242,  5.36391   4.60423 -0.388799  0.491242,-0.918175 -0.837122  0.691258   8.79005
0,  4.27467   3.75785 -0.248269  0.439914,  4.28842   3.75737 -0.211657   0.46494,  4.27732   3.75081 -0.211657   0.46494,0.0619992 -0.187278  -14.7471   5.68888
4, -5.50891  -3.14469 -0.291101  0.392372, -5.20665  -3.02361 -0.342164  0.387093, -5.23618  -3.09733 -0.342164  0.387093,-4.95082 -1.50581  17.5411 -1.34548
17,  9.65102  -1.95797 -0.493217 -0.342972,  9.91739  -2.17141 -0.528701 -0.327278,  9.89922  -2.11895 -0.528701 -0.327278, 2.57171  8.22155  7.19445 -4.57602
18, 5.40075  4.65815 -0.38613 0.451551,  5.44333   4.35451 -0.403159  0.479479,  5.42253   4.41442 -0.403159  0.479479,0.403348 -5.23237  4.41025  6.18496
0,   4.2664   3.77251 -0.248269  0.439914,  4.43214   3.83289 -0.247292  0.450937,  4.39569    3.8179 -0.247292  0.450937,  3.03059    1.2031 -0.393792   2.50572
