obs_id,true_value,meas_value,corr_value,diff(%)
0,  4.17537   3.93381 -0.248269  0.439914,  4.23864   3.50825 -0.246954  0.471636,  4.29531   3.59245 -0.246954  0.471636,  2.87262  -8.67778 -0.529912     7.211
4, -5.62535  -2.98774 -0.291101  0.392372, -5.40693  -3.07653 -0.288011  0.329288, -5.43981  -3.06901 -0.288011  0.329288,-3.29829  2.72033 -1.06157 -16.0776
17,  9.45374  -2.09516 -0.493217 -0.342972,   9.1758  -2.30509 -0.500151 -0.377209,  9.19737  -2.25821 -0.500151 -0.377209,-2.71187  7.78228   1.4058  9.98246
18,  5.2463  4.83877 -0.38613 0.451551, 5.16079   4.9846 -0.42975 0.382934, 5.14361  5.03354 -0.42975 0.382934,-1.95724  4.02518  11.2968 -15.1958
0,  4.16709   3.94848 -0.248269  0.439914,  4.43238   3.46183 -0.309637  0.431624,  4.39966   3.49478 -0.309637  0.431624, 5.58119 -11.4905  24.7182 -1.88439
4, -5.63506  -2.97466 -0.291101  0.392372, -5.77537  -2.77007 -0.322291  0.353968, -5.70198   -2.8349 -0.322291  0.353968, 1.18772 -4.69811  10.7143 -9.78759
17,   9.4373  -2.10659 -0.493217 -0.342972,  9.83355  -2.31335 -0.451923 -0.356754,  9.68656  -2.30377 -0.451923 -0.356754, 2.64122  9.35999 -8.37235  4.01837
18, 5.23343  4.85383 -0.38613 0.451551,  5.44829   4.91595 -0.427462  0.432341,  5.37647    4.9453 -0.427462  0.432341, 2.73319   1.8846   10.704 -4.25426
0,  4.15881   3.96314 -0.248269  0.439914,  4.13772   4.06969 -0.284485  0.439844,  4.19437   3.94349 -0.284485  0.439844,   0.85502  -0.495915    14.5873 -0.0158932
4, -5.64476  -2.96158 -0.291101  0.392372, -5.60176  -2.87629 -0.267324  0.363101, -5.62674  -2.86432 -0.267324  0.363101,-0.319212   -3.2841  -8.16818     -7.46
17,  9.42086  -2.11802 -0.493217 -0.342972,  9.30659  -2.03403 -0.515807 -0.356771,  9.38874  -2.09744 -0.515807 -0.356771,-0.340882 -0.971888   4.58018   4.02325
18, 5.22056  4.86888 -0.38613 0.451551,  5.04524   4.90051 -0.391546  0.506042,  5.11661   4.91384 -0.391546  0.506042,-1.99115 0.923407  1.40261  12.0676
0,  4.15054    3.9778 -0.248269  0.439914,  4.50974   3.84386 -0.256232  0.388627,   4.4366   3.86959 -0.256232  0.388627, 6.89224 -2.72047  3.20733 -11.6584
4, -5.65446   -2.9485 -0.291101  0.392372, -5.76641  -2.80237 -0.294896  0.406264, -5.73697   -2.8136 -0.294896  0.406264, 1.45918 -4.57535  1.30374  3.54059
17,  9.40442  -2.12946 -0.493217 -0.342972,  9.52753  -1.79485 -0.525914 -0.317325,  9.49241  -1.86566 -0.525914 -0.317325,0.935663  -12.388  6.62928 -7.47799
18, 5.20768  4.88393 -0.38613 0.451551,   5.2378   4.91002 -0.400047  0.404618,  5.20757   4.91468 -0.400047  0.404618,-0.0021426   0.629534    3.60429   -10.3937
0,  4.14226   3.99247 -0.248269  0.439914,  3.66145   4.00219 -0.240027  0.390812,  3.83405   3.97525 -0.240027  0.390812, -7.44064 -0.431271  -3.31997  -11.1617
4, -5.66417  -2.93542 -0.291101  0.392372, -5.68599   -3.3344 -0.274692  0.379813, -5.69968  -3.21409 -0.274692  0.379813,0.627001  9.49344  -5.6369 -3.20077
17,  9.38798  -2.14089 -0.493217 -0.342972,  9.35314  -1.63741 -0.477549 -0.355384,  9.38055  -1.69118 -0.477549 -0.355384,-0.0791344   -21.0056   -3.17664    3.61871
18, 5.19481  4.89898 -0.38613 0.451551,  5.07067   4.46177 -0.350236  0.476722,  5.09849   4.56678 -0.350236  0.476722,-1.85423 -6.78111 -9.29575  5.57447
0,  4.13399   4.00713 -0.248269  0.439914,  3.97959   4.10086 -0.252841   0.42969,  3.94502   4.07551 -0.252841   0.42969,-4.57102   1.7064  1.84126 -2.32414
4, -5.67387  -2.92234 -0.291101  0.392372, -5.63053  -3.21081 -0.269081  0.346703, -5.64816   -3.2087 -0.269081  0.346703,-0.453157   9.79886  -7.56445  -11.6393
17,  9.37154  -2.15232 -0.493217 -0.342972,  9.62099  -1.76139 -0.460692 -0.394898,  9.56327  -1.74825 -0.460692 -0.394898, 2.04587 -18.7735 -6.59447    15.14
18, 5.18194  4.91403 -0.38613 0.451551,  5.03422   5.29848 -0.366475  0.446859,  5.04606   5.13731 -0.366475  0.446859,-2.62219  4.54371 -5.09017 -1.03911
0,  4.12571    4.0218 -0.248269  0.439914,  4.21499   3.87829 -0.286947   0.41767,  4.15231   3.92592 -0.286947   0.41767,0.644653   -2.384  15.5791 -5.05635
4, -5.68357  -2.90926 -0.291101  0.392372,-5.90954 -2.99243 -0.25773 0.435486,-5.85271 -3.03852 -0.25773 0.435486, 2.97598  4.44307 -11.4636   10.988
